Company Name;Ticker;Date;Close
Affirm Holdings Inc;AFRM;25.03.2021; $69,56 
Affirm Holdings Inc;AFRM;26.03.2021; $69,72 
Affirm Holdings Inc;AFRM;29.03.2021; $69,99 
Affirm Holdings Inc;AFRM;30.03.2021; $66,39 
Affirm Holdings Inc;AFRM;31.03.2021; $70,72 
Affirm Holdings Inc;AFRM;01.04.2021; $71,45 
Affirm Holdings Inc;AFRM;05.04.2021; $69,39 
Affirm Holdings Inc;AFRM;06.04.2021; $73,00 
Affirm Holdings Inc;AFRM;07.04.2021; $71,50 
Affirm Holdings Inc;AFRM;08.04.2021; $69,81 
Affirm Holdings Inc;AFRM;09.04.2021; $70,71 
Affirm Holdings Inc;AFRM;12.04.2021; $67,93 
Affirm Holdings Inc;AFRM;13.04.2021; $70,11 
Affirm Holdings Inc;AFRM;14.04.2021; $68,73 
Affirm Holdings Inc;AFRM;15.04.2021; $68,67 
Affirm Holdings Inc;AFRM;16.04.2021; $69,72 
Affirm Holdings Inc;AFRM;19.04.2021; $66,02 
Affirm Holdings Inc;AFRM;20.04.2021; $65,00 
Affirm Holdings Inc;AFRM;21.04.2021; $67,55 
Affirm Holdings Inc;AFRM;22.04.2021; $68,62 
Affirm Holdings Inc;AFRM;23.04.2021; $74,12 
Affirm Holdings Inc;AFRM;26.04.2021; $77,97 
Affirm Holdings Inc;AFRM;27.04.2021; $76,37 
Affirm Holdings Inc;AFRM;28.04.2021; $77,21 
Affirm Holdings Inc;AFRM;29.04.2021; $74,02 
Affirm Holdings Inc;AFRM;30.04.2021; $70,50 
Affirm Holdings Inc;AFRM;03.05.2021; $66,78 
Affirm Holdings Inc;AFRM;04.05.2021; $62,17 
Affirm Holdings Inc;AFRM;05.05.2021; $57,60 
Affirm Holdings Inc;AFRM;06.05.2021; $54,44 
Affirm Holdings Inc;AFRM;07.05.2021; $54,00 
Affirm Holdings Inc;AFRM;10.05.2021; $57,00 
Affirm Holdings Inc;AFRM;11.05.2021; $55,45 
Affirm Holdings Inc;AFRM;12.05.2021; $49,82 
Affirm Holdings Inc;AFRM;13.05.2021; $48,37 
Affirm Holdings Inc;AFRM;14.05.2021; $54,00 
Affirm Holdings Inc;AFRM;17.05.2021; $50,60 
Affirm Holdings Inc;AFRM;18.05.2021; $51,64 
Affirm Holdings Inc;AFRM;19.05.2021; $50,45 
Affirm Holdings Inc;AFRM;20.05.2021; $54,89 
Affirm Holdings Inc;AFRM;21.05.2021; $53,36 
Affirm Holdings Inc;AFRM;24.05.2021; $53,15 
Affirm Holdings Inc;AFRM;25.05.2021; $54,04 
Affirm Holdings Inc;AFRM;26.05.2021; $57,00 
Affirm Holdings Inc;AFRM;27.05.2021; $57,29 
Affirm Holdings Inc;AFRM;28.05.2021; $60,81 
Affirm Holdings Inc;AFRM;01.06.2021; $62,52 
Affirm Holdings Inc;AFRM;02.06.2021; $65,24 
Affirm Holdings Inc;AFRM;03.06.2021; $63,24 
Affirm Holdings Inc;AFRM;04.06.2021; $59,65 
Affirm Holdings Inc;AFRM;07.06.2021; $59,46 
Affirm Holdings Inc;AFRM;08.06.2021; $62,49 
Affirm Holdings Inc;AFRM;09.06.2021; $60,26 
Affirm Holdings Inc;AFRM;10.06.2021; $63,68 
Affirm Holdings Inc;AFRM;11.06.2021; $67,98 
Affirm Holdings Inc;AFRM;14.06.2021; $68,94 
Affirm Holdings Inc;AFRM;15.06.2021; $67,26 
Affirm Holdings Inc;AFRM;16.06.2021; $67,41 
Affirm Holdings Inc;AFRM;17.06.2021; $69,39 
Affirm Holdings Inc;AFRM;18.06.2021; $68,18 
Affirm Holdings Inc;AFRM;21.06.2021; $63,80 
Affirm Holdings Inc;AFRM;22.06.2021; $63,45 
Affirm Holdings Inc;AFRM;23.06.2021; $65,16 
Affirm Holdings Inc;AFRM;24.06.2021; $66,33 
Affirm Holdings Inc;AFRM;25.06.2021; $64,40 
Affirm Holdings Inc;AFRM;28.06.2021; $64,43 
Affirm Holdings Inc;AFRM;29.06.2021; $66,46 
Affirm Holdings Inc;AFRM;30.06.2021; $67,35 
Affirm Holdings Inc;AFRM;01.07.2021; $68,37 
Affirm Holdings Inc;AFRM;02.07.2021; $68,87 
Affirm Holdings Inc;AFRM;06.07.2021; $67,99 
Affirm Holdings Inc;AFRM;07.07.2021; $64,29 
Affirm Holdings Inc;AFRM;08.07.2021; $63,99 
Affirm Holdings Inc;AFRM;09.07.2021; $67,25 
Affirm Holdings Inc;AFRM;12.07.2021; $65,00 
Affirm Holdings Inc;AFRM;13.07.2021; $58,21 
Affirm Holdings Inc;AFRM;14.07.2021; $56,76 
Affirm Holdings Inc;AFRM;15.07.2021; $57,45 
Affirm Holdings Inc;AFRM;16.07.2021; $57,50 
Affirm Holdings Inc;AFRM;19.07.2021; $55,86 
Affirm Holdings Inc;AFRM;20.07.2021; $57,41 
Affirm Holdings Inc;AFRM;21.07.2021; $60,63 
Affirm Holdings Inc;AFRM;22.07.2021; $59,00 
Affirm Holdings Inc;AFRM;23.07.2021; $58,69 
Affirm Holdings Inc;AFRM;26.07.2021; $59,42 
Affirm Holdings Inc;AFRM;27.07.2021; $59,50 
Affirm Holdings Inc;AFRM;28.07.2021; $61,18 
Affirm Holdings Inc;AFRM;29.07.2021; $60,86 
Affirm Holdings Inc;AFRM;30.07.2021; $56,32 
Affirm Holdings Inc;AFRM;02.08.2021; $64,71 
Affirm Holdings Inc;AFRM;03.08.2021; $66,67 
Affirm Holdings Inc;AFRM;04.08.2021; $68,22 
Affirm Holdings Inc;AFRM;05.08.2021; $67,16 
Affirm Holdings Inc;AFRM;06.08.2021; $67,17 
Affirm Holdings Inc;AFRM;09.08.2021; $65,88 
Affirm Holdings Inc;AFRM;10.08.2021; $65,56 
Affirm Holdings Inc;AFRM;11.08.2021; $68,62 
Affirm Holdings Inc;AFRM;12.08.2021; $67,54 
Affirm Holdings Inc;AFRM;13.08.2021; $65,95 
Affirm Holdings Inc;AFRM;16.08.2021; $63,59 
Affirm Holdings Inc;AFRM;17.08.2021; $63,50 
Affirm Holdings Inc;AFRM;18.08.2021; $64,68 
Affirm Holdings Inc;AFRM;19.08.2021; $63,46 
Affirm Holdings Inc;AFRM;20.08.2021; $64,76 
