Company Name;Ticker;Date;Close
Upstart Holdings Inc;UPST;5.4.2021; $107,36 
Upstart Holdings Inc;UPST;5.5.2021; $98,19 
Upstart Holdings Inc;UPST;5.6.2021; $92,04 
Upstart Holdings Inc;UPST;5.7.2021; $95,97 
Upstart Holdings Inc;UPST;5.10.2021; $88,21 
Upstart Holdings Inc;UPST;5.11.2021; $89,44 
Upstart Holdings Inc;UPST;5.12.2021; $91,82 
Upstart Holdings Inc;UPST;5.13.2021; $84,05 
Upstart Holdings Inc;UPST;5.14.2021; $103,36 
Upstart Holdings Inc;UPST;5.17.2021; $115,00 
Upstart Holdings Inc;UPST;5.18.2021; $119,49 
Upstart Holdings Inc;UPST;5.19.2021; $132,91 
Upstart Holdings Inc;UPST;5.20.2021; $139,08 
Upstart Holdings Inc;UPST;5.21.2021; $153,85 
Upstart Holdings Inc;UPST;5.24.2021; $139,77 
Upstart Holdings Inc;UPST;5.25.2021; $133,70 
Upstart Holdings Inc;UPST;5.26.2021; $146,58 
Upstart Holdings Inc;UPST;5.27.2021; $166,83 
Upstart Holdings Inc;UPST;5.28.2021; $148,22 
Upstart Holdings Inc;UPST;6.1.2021; $144,49 
Upstart Holdings Inc;UPST;6.2.2021; $157,14 
Upstart Holdings Inc;UPST;6.3.2021; $164,83 
Upstart Holdings Inc;UPST;6.4.2021; $164,04 
Upstart Holdings Inc;UPST;6.7.2021; $170,00 
Upstart Holdings Inc;UPST;6.8.2021; $162,01 
Upstart Holdings Inc;UPST;6.9.2021; $152,43 
Upstart Holdings Inc;UPST;6.10.2021; $146,42 
Upstart Holdings Inc;UPST;6.11.2021; $125,51 
Upstart Holdings Inc;UPST;6.14.2021; $124,69 
Upstart Holdings Inc;UPST;6.15.2021; $123,03 
Upstart Holdings Inc;UPST;6.16.2021; $119,01 
Upstart Holdings Inc;UPST;6.17.2021; $126,31 
Upstart Holdings Inc;UPST;6.18.2021; $123,86 
Upstart Holdings Inc;UPST;6.21.2021; $121,35 
Upstart Holdings Inc;UPST;6.22.2021; $119,65 
Upstart Holdings Inc;UPST;6.23.2021; $125,14 
Upstart Holdings Inc;UPST;6.24.2021; $123,42 
Upstart Holdings Inc;UPST;6.25.2021; $122,20 
Upstart Holdings Inc;UPST;6.28.2021; $123,89 
Upstart Holdings Inc;UPST;6.29.2021; $122,93 
Upstart Holdings Inc;UPST;6.30.2021; $124,90 
Upstart Holdings Inc;UPST;7.1.2021; $123,92 
Upstart Holdings Inc;UPST;7.2.2021; $121,21 
Upstart Holdings Inc;UPST;7.6.2021; $120,00 
Upstart Holdings Inc;UPST;7.7.2021; $117,40 
Upstart Holdings Inc;UPST;7.8.2021; $119,75 
Upstart Holdings Inc;UPST;7.9.2021; $120,00 
Upstart Holdings Inc;UPST;7.12.2021; $129,90 
Upstart Holdings Inc;UPST;7.13.2021; $119,38 
Upstart Holdings Inc;UPST;7.14.2021; $113,13 
Upstart Holdings Inc;UPST;7.15.2021; $113,09 
Upstart Holdings Inc;UPST;7.16.2021; $113,79 
Upstart Holdings Inc;UPST;7.19.2021; $115,28 
Upstart Holdings Inc;UPST;7.20.2021; $117,63 
Upstart Holdings Inc;UPST;7.21.2021; $119,15 
Upstart Holdings Inc;UPST;7.22.2021; $116,91 
Upstart Holdings Inc;UPST;7.23.2021; $116,57 
Upstart Holdings Inc;UPST;7.26.2021; $121,82 
Upstart Holdings Inc;UPST;7.27.2021; $115,75 
Upstart Holdings Inc;UPST;7.28.2021; $121,79 
Upstart Holdings Inc;UPST;7.29.2021; $123,87 
Upstart Holdings Inc;UPST;7.30.2021; $120,76 
Upstart Holdings Inc;UPST;8.2.2021; $133,41 
Upstart Holdings Inc;UPST;8.3.2021; $128,68 
Upstart Holdings Inc;UPST;8.4.2021; $127,98 
Upstart Holdings Inc;UPST;8.5.2021; $133,17 
Upstart Holdings Inc;UPST;8.6.2021; $132,13 
Upstart Holdings Inc;UPST;8.9.2021; $137,19 
Upstart Holdings Inc;UPST;8.10.2021; $135,68 
Upstart Holdings Inc;UPST;8.11.2021; $171,20 
Upstart Holdings Inc;UPST;8.12.2021; $178,12 
Upstart Holdings Inc;UPST;8.13.2021; $203,29 
Upstart Holdings Inc;UPST;8.16.2021; $200,89 
Upstart Holdings Inc;UPST;8.17.2021; $200,18 
Upstart Holdings Inc;UPST;8.18.2021; $212,27 
Upstart Holdings Inc;UPST;8.19.2021; $193,87 
Upstart Holdings Inc;UPST;8.20.2021; $195,64 
Upstart Holdings Inc;UPST;8.23.2021; $202,96 
Upstart Holdings Inc;UPST;8.24.2021; $219,45 
Upstart Holdings Inc;UPST;8.25.2021; $214,14 
Upstart Holdings Inc;UPST;8.26.2021; $216,75 
Upstart Holdings Inc;UPST;8.27.2021; $223,18 
Upstart Holdings Inc;UPST;8.30.2021; $215,64 
Upstart Holdings Inc;UPST;8.31.2021; $229,12 
Upstart Holdings Inc;UPST;9.1.2021; $226,81 
Upstart Holdings Inc;UPST;9.2.2021; $239,80 
Upstart Holdings Inc;UPST;9.3.2021; $247,29 
Upstart Holdings Inc;UPST;9.7.2021; $262,70 
Upstart Holdings Inc;UPST;9.8.2021; $274,33 
Upstart Holdings Inc;UPST;9.9.2021; $289,60 
Upstart Holdings Inc;UPST;9.10.2021; $270,46 
Upstart Holdings Inc;UPST;9.13.2021; $278,00 
Upstart Holdings Inc;UPST;9.14.2021; $269,04 
Upstart Holdings Inc;UPST;9.15.2021; $279,09 
Upstart Holdings Inc;UPST;9.16.2021; $293,26 
Upstart Holdings Inc;UPST;9.17.2021; $303,32 
Upstart Holdings Inc;UPST;9.20.2021; $293,47 
Upstart Holdings Inc;UPST;9.21.2021; $320,77 
Upstart Holdings Inc;UPST;9.22.2021; $323,51 
Upstart Holdings Inc;UPST;9.23.2021; $336,34 
Upstart Holdings Inc;UPST;9.24.2021; $327,88 
